,r.value.fit.vectors.r,fit.vectors.pvals
Bradyrhizobium sp. RP6,0.123093509,0.058
Bradyrhizobium sp. S69,0.36973353,0.001
Bradyrhizobium sp. sBnM-33,0.298841941,0.001
Bradyrhizobium sp. SBR1B,0.140665909,0.037
Bradyrhizobium sp. SEMIA,0.310106445,0.001
Bradyrhizobium sp. sGM-13,0.530677551,0.001
Bradyrhizobium sp. SHOUNA76,0.375095444,0.001
Bradyrhizobium sp. SK17,0.222093522,0.009
Bradyrhizobium sp. SRL28,0.451226021,0.001
Bradyrhizobium sp. SRS-191,0.285040946,0.002
Bradyrhizobium sp. SSBR45G,0.095130297,0.114
Bradyrhizobium sp. SSUT112,0.518770244,0.001
Bradyrhizobium sp. SSUT18,0.179980307,0.013
Bradyrhizobium sp. SSUT77,0.054355743,0.303
Bradyrhizobium sp. STM 3809,0.336079251,0.001
Bradyrhizobium sp. STM 3843,0.657218657,0.001
Bradyrhizobium sp. SUTN9-2,0.167971681,0.021
Bradyrhizobium sp. SZCCHNF30212,0.126560725,0.051
Bradyrhizobium sp. SZCCHNG3015,0.584301628,0.001
Bradyrhizobium sp. SZCCHNPS1003,0.295162542,0.003
Bradyrhizobium sp. SZCCHNPS2010,0.33834696,0.001
Bradyrhizobium sp. SZCCHNR1015,0.031767527,0.489
Bradyrhizobium sp. SZCCHNR1020,0.1917265,0.01
Bradyrhizobium sp. SZCCHNR1039,0.135761693,0.057
Bradyrhizobium sp. SZCCHNR1051,0.11019371,0.094
Bradyrhizobium sp. SZCCHNR1070,0.05780468,0.269
Bradyrhizobium sp. SZCCHNR1093,0.387870692,0.001
Bradyrhizobium sp. SZCCHNR2009,0.085716393,0.141
Bradyrhizobium sp. SZCCHNR2012,0.02865812,0.559
Bradyrhizobium sp. SZCCHNR2026,0.134676869,0.037
Bradyrhizobium sp. SZCCHNR2032,0.136446983,0.042
Bradyrhizobium sp. SZCCHNR3003,0.030340877,0.511
Bradyrhizobium sp. SZCCHNR3006,0.292082835,0.001
Bradyrhizobium sp. SZCCHNR3008,0,1
Bradyrhizobium sp. SZCCHNR3058,0.052646956,0.318
Bradyrhizobium sp. SZCCHNR3118,0.122237197,0.068
Bradyrhizobium sp. SZCCHNRI1003,0.279366298,0.001
Bradyrhizobium sp. SZCCHNRI1009,0.121440704,0.052
Bradyrhizobium sp. SZCCHNRI1029,0.243904622,0.004
Bradyrhizobium sp. SZCCHNRI2007,0.082645811,0.155
Bradyrhizobium sp. SZCCHNRI2010,0.154805334,0.032
Bradyrhizobium sp. SZCCHNRI20481,0.057710973,0.246
Bradyrhizobium sp. SZCCHNRI3037,0.219712463,0.007
Bradyrhizobium sp. SZCCHNRI3042,0.455843335,0.001
Bradyrhizobium sp. SZCCHNRI3043,0.200242272,0.009
Bradyrhizobium sp. SZCCHNRI3052,0,1
Bradyrhizobium sp. SZCCHNS1012,0.322136121,0.002
Bradyrhizobium sp. SZCCHNS1054,0.29904865,0.001
Bradyrhizobium sp. SZCCHNS2005,0.192294316,0.01
Bradyrhizobium sp. SZCCHNS2006,0.356785293,0.001
Bradyrhizobium sp. SZCCHNS2096,0.35064091,0.001
Bradyrhizobium sp. SZCCHNS3002,0.347207934,0.001
Bradyrhizobium sp. SZCCHNS3004,0.317667485,0.001
Bradyrhizobium sp. SZCCHNS3051,0.404831612,0.001
Bradyrhizobium sp. SZCCHNS3052,0.079788079,0.165
Bradyrhizobium sp. SZCCHNS3053,0.134154846,0.043
Bradyrhizobium sp. th.b2,0.043420389,0.382
Bradyrhizobium sp. TM233,0.373703553,0.002
Bradyrhizobium sp. TM239,0.187656041,0.005
Bradyrhizobium sp. Tv2a-2,0.585791623,0.001
Bradyrhizobium sp. U87765 SZCCT0131,0.120637521,0.06
Bradyrhizobium sp. UASWS1016,0.145271361,0.037
Bradyrhizobium sp. UBA2491,0.332913002,0.001
Bradyrhizobium sp. UFLA03-84,0.3588002,0.001
Bradyrhizobium sp. UNPA324,0.244402685,0.003
Bradyrhizobium sp. UNPF46,0.062146378,0.234
Bradyrhizobium sp. URHA0013,0.091408956,0.101
Bradyrhizobium sp. URHD0069,0.286759545,0.002
Bradyrhizobium sp. USDA 3456,0.041272866,0.37
Bradyrhizobium sp. USDA 3458,0.212294798,0.011
Bradyrhizobium sp. USDA 4538,0.299795225,0.001
Bradyrhizobium sp. USDA 4541,0.124702964,0.056
Bradyrhizobium sp. USDA 4545,0.328953072,0.001
Bradyrhizobium sp. WBAH30,0.371289431,0.001
Bradyrhizobium sp. WBAH35,0.130082018,0.049
Bradyrhizobium sp. WBAH42,0.056551048,0.28
Bradyrhizobium sp. WBOS16,0.371579288,0.001
Bradyrhizobium sp. WD16,0.17574113,0.009
Bradyrhizobium sp. WM9,0.199558527,0.008
Bradyrhizobium sp. WSM1253,0.110338708,0.081
Bradyrhizobium sp. WSM1417,0.15243258,0.03
Bradyrhizobium sp. WSM1743,0.076499009,0.178
Bradyrhizobium sp. WSM2254,0.152001668,0.029
Bradyrhizobium sp. WSM2793,0.060738609,0.259
Bradyrhizobium sp. WSM3983,0.15904602,0.028
Bradyrhizobium sp. WSM4349,0.092568837,0.125
Bradyrhizobium sp. WSM471,0.2925562,0.001
Bradyrhizobium sp. WYCCWR 12677,0.170019719,0.02
Bradyrhizobium sp. WYCCWR 12699,0.124342675,0.054
Bradyrhizobium sp. Y36,0.408579595,0.001
Bradyrhizobium sp. Y-H1,0.445828568,0.001
Bradyrhizobium sp. YR681,0.28253443,0.002
Bradyrhizobium stylosanthis,0.394231702,0.001
Bradyrhizobium symbiodeficiens,0.254761859,0.001
Bradyrhizobium tropiciagri,0.16068783,0.022
Bradyrhizobium uaiense,0.419179555,0.001
Bradyrhizobium valentinum,0.475827232,0.001
Bradyrhizobium vignae,0.307782844,0.001
Bradyrhizobium viridifuturi,0.086563591,0.15
Bradyrhizobium xenonodulans,0.528840298,0.001
Bradyrhizobium yuanmingense,0.240632834,0.002
Bradyrhizobium zhanjiangense,0.216426087,0.007
Bradyrhizobium zhengyangense,0.26023275,0.002
Branchiibius hedensis,0.016876029,0.7
Branchiibius sp. NY16-3462-2,0.040560918,0.403
Brasilonema angustatum,0.056640053,0.299
Brasilonema bromeliae,0.028632959,0.553
Brasilonema octagenarum,0.177072748,0.018
Brasilonema sp. CT11,0.485070773,0.001
Brasilonema sp. UFV-L1,0.1424404,0.041
Bremerella sp. TYQ1,0.380742031,0.001
Breoghania corrubedonensis,0.295077684,0.002
Breoghania sp.,0.104314312,0.107
Breoghania sp. L-A4,0.237055677,0.005
Brevefilum sp.,0.274839096,0.002
Brevibacillus borstelensis,0.012528043,0.802
Brevibacillus brevis,0.016857817,0.711
Brevibacillus centrosporus,0.024082849,0.611
Brevibacillus choshinensis,0.002062093,0.958
Brevibacillus composti,0.069438857,0.181
Brevibacillus daliensis,0.129879487,0.055
Brevibacillus dissolubilis,0.358876115,0.001
Brevibacillus gelatini,0.048270469,0.318
Brevibacillus halotolerans,0.026523082,0.591
Brevibacillus invocatus,0.19890722,0.023
Brevibacillus laterosporus,0.306495896,0.001
Brevibacillus nitrificans,0.166847831,0.033
Brevibacillus parabrevis,0.124406976,0.056
Brevibacillus porteri,0.026448538,0.553
Brevibacillus sp. AY1,0.168774261,0.019
Brevibacillus sp. HB1.1,0.169436068,0.016
Brevibacillus sp. HB2.2,0.055873563,0.299
Brevibacillus sp. LEMMJ03,0.049125911,0.329
Brevibacillus sp. SYP-B805,0.251712176,0.003
Brevibacillus thermoruber,0.069371684,0.218
Brevibacteriaceae bacterium ZFBP1038,0.325004567,0.002
Brevibacterium antiquum,0.021166165,0.629
Brevibacterium aurantiacum,0.248370097,0.003
Brevibacterium casei,0.21528815,0.01
Brevibacterium daeguense,0.151122815,0.034
Brevibacterium epidermidis,0.21813495,0.006
Brevibacterium otitidis,0.221037064,0.001
Brevibacterium renqingii,0.068183789,0.236
Brevibacterium senegalense,0.026878728,0.563
Brevibacterium sp.,0.030796947,0.512
Brevibacterium sp. 239c,0,1
Brevibacterium sp. HMSC063G07,0.070154485,0.195
Brevibacterium sp. HMSC08F02,0,1
Brevibacterium sp. Mu109,0.158980608,0.022
Brevibacterium sp. SMBL_HHYL_HB1,0.166195123,0.025
Brevibacterium sp. UCMA 11752,0,1
Brevibacterium sp. UMB10442,0.095450977,0.139
Brevifollis gellanilyticus,0.231587022,0.004
Brevundimonas albigilva,0.027009481,0.562
Brevundimonas aurantiaca,0.119676815,0.063
Brevundimonas bullata,0.103945366,0.098
Brevundimonas denitrificans,0.218435782,0.007
Brevundimonas diminuta,0.114823358,0.087
Brevundimonas goettingensis,0.191655834,0.007
Brevundimonas guildfordensis,0.109190481,0.093
Brevundimonas halotolerans,0.044670096,0.364
Brevundimonas intermedia,0.095553807,0.116
Brevundimonas lutea,0.128643236,0.064
Brevundimonas naejangsanensis,0.113799125,0.088
Brevundimonas nasdae,0.105929742,0.096
Brevundimonas pondensis,0.102994932,0.103
Brevundimonas sp.,0.041472148,0.39
Brevundimonas sp. 12-68-7,0.025351054,0.584
Brevundimonas sp. 357,0.118295425,0.08
Brevundimonas sp. 67-6,0.124137819,0.072
Brevundimonas sp. GW460-12-10-14-LB2,0.337315549,0.001
Brevundimonas sp. KM4,0.126014258,0.064
Brevundimonas sp. LF-1,0.126014258,0.064
Brevundimonas sp. LPMIX5,0.11197061,0.092
Brevundimonas sp. MYb27,0.106935261,0.095
Brevundimonas sp. NCCP 15609,0.10164294,0.099
Brevundimonas sp. NIBR11,0.136158468,0.061
Brevundimonas sp. P7753,0.095688418,0.113
Brevundimonas sp. Root1279,0.187296093,0.022
Brevundimonas sp. Root1423,0.26443027,0.001
Brevundimonas sp. SGAir0440,0.126014258,0.064
Brevundimonas sp. SL130,0.335326714,0.002
Brevundimonas sp. UBA5936,0.111520174,0.092
Brevundimonas sp. UBA7507,0.120969543,0.078
Brevundimonas sp. ZS04,0.119078616,0.081
Brevundimonas terrae,0.097954539,0.113
Brevundimonas vancanneytii,0.111882068,0.091
Brevundimonas variabilis,0.069417568,0.19
Brevundimonas vesicularis,0.126014258,0.064
Brevundimonas viscosa,0.134964636,0.044
Brockia lithotrophica,0.039662605,0.377
Brooklawnia cerclae,0.055761475,0.262
Brooklawnia propionicigenes,0.073877981,0.153
Brooklawnia sp.,0.173960828,0.022
Brucella abortus,0.049472848,0.345
Brucella anthropi,0.320629811,0.001
Brucella cytisi,0.022201504,0.673
Brucella daejeonensis,0.099687487,0.099
Brucella grignonensis,0.000190423,0.998
Brucella intermedia,0.266406958,0.004
Brucella melitensis,0.054134978,0.272
Brucella oryzae,0,1
Brucella ovis,0.130573284,0.041
Brucella pinnipedialis,0.094576625,0.112
Brucella pseudintermedia,0.061405265,0.268
Brucella rhizosphaerae,0,1
Brucella sp. 09RB8471,0.023966903,0.579
Brucella sp. 10RB9214,0.051002348,0.327
Brucella sp. NBRC 12950,0.073662312,0.203
Brucella suis,0.136927976,0.044
Brucellaceae bacterium,0.291182625,0.002
Brucellaceae bacterium VT-16-1752,0.307416364,0.002
Bryobacter aggregatus,0.105800971,0.098
Bryobacter sp.,0.144830389,0.032
Bryobacter sp. CoA8 C33,0.014326031,0.792
Bryobacteraceae bacterium,0.49523509,0.001
Bryobacteraceae bacterium CoA2 C42,0.133472691,0.06
Bryobacterales bacterium,0.113478252,0.08
Bryocella elongata,0.438305045,0.001
Bryocella sp.,0.383445697,0.001
Buchananella hordeovulneris,0.076409834,0.15
Buchnera aphidicola,0,1
Burkholderia alba,0.025729845,0.586
Burkholderia ambifaria,0.124215598,0.063
Burkholderia anthina,0.055905274,0.282
Burkholderia cenocepacia,0.058546782,0.271
Burkholderia cepacia,0.029257369,0.536
Burkholderia contaminans,0.086517504,0.159
Burkholderia dolosa,0.081695504,0.144
Burkholderia gladioli,0.203388754,0.008
Burkholderia glumae,0.113038537,0.086
Burkholderia guangdongensis,0,1
Burkholderia lata,0.477979843,0.001
Burkholderia latens,0.199449305,0.012
Burkholderia mallei,0.158368924,0.021
Burkholderia mayonis,0.092495952,0.113
Burkholderia multivorans,0.236289648,0.004
Burkholderia pseudomallei,0.007966181,0.844
Burkholderia pseudomultivorans,0.083824215,0.145
Burkholderia pyrrocinia,0.04229805,0.396
Burkholderia seminalis,0.129182016,0.054
Burkholderia singularis,0.086203852,0.153
Burkholderia sola,0.176944724,0.024
Burkholderia sp.,0.567878241,0.001
Burkholderia sp. 4701,0.053949654,0.301
Burkholderia sp. 8Y,0.251106474,0.007
Burkholderia sp. Ac-20353,0,1
Burkholderia sp. Ac-20379,0.106999016,0.099
Burkholderia sp. Ac-20384,0,1
Burkholderia sp. Ap-962,0.070116167,0.21
Burkholderia sp. AU31624,0.067753503,0.216
Burkholderia sp. AU4i,0.414670209,0.001
Burkholderia sp. Ax-1719,0.061320972,0.253
Burkholderia sp. BCC0322,0.160709724,0.036
Burkholderia sp. BDU5,0.193133599,0.011
Burkholderia sp. BE12,0.023389321,0.583
Burkholderia sp. Bp8963,0.136977247,0.045
Burkholderia sp. Bp8984,0.19890722,0.023
Burkholderia sp. Bp8990,0.226409725,0.002
Burkholderia sp. Bp8992,0.092850921,0.124
Burkholderia sp. Bp9002,0.161037077,0.029
Burkholderia sp. Bp9126,0.017031064,0.758
Burkholderia sp. Bp9142,0.379824848,0.001
Burkholderia sp. Ch1-1,0.130090485,0.049
Burkholderia sp. COPS,0.01719758,0.74
Burkholderia sp. D7,0.258344457,0.003
Burkholderia sp. D-99,0.190048109,0.011
Burkholderia sp. E168m30,0,1
Burkholderia sp. GAS332,0.028948712,0.546
Burkholderia sp. GbtcB21,0.317791604,0.001
Burkholderia sp. H160,0.052820782,0.329
Burkholderia sp. IDO3,0.251830413,0.001
Burkholderia sp. KK1,0.071846727,0.184
Burkholderia sp. L27(2015),0.227667717,0.007
Burkholderia sp. LMG 13014,0.409382809,0.001
Burkholderia sp. MSHR3999,0.334809408,0.002
Burkholderia sp. MSMB1826,0.085076908,0.141
Burkholderia sp. NFACC33-1,0.0394483,0.451
Burkholderia sp. OK233,0.028545528,0.588
Burkholderia sp. S171,0.032333421,0.474
Burkholderia sp. S-53,0.012518276,0.79
Burkholderia sp. SJZ089,0.291543925,0.001
Burkholderia sp. SRS-W-2-2016,0.452544699,0.001
Burkholderia sp. THE68,0.16498591,0.02
Burkholderia sp. Tr-849,0.19890722,0.023
Burkholderia sp. Tr-860,0,1
Burkholderia sp. USMB20,0.031127696,0.506
Burkholderia sp. WP9,0.124998536,0.07
Burkholderia sp. WSM2232,0.315089518,0.002
Burkholderia stabilis,0,1
Burkholderia stagnalis,0.199821752,0.014
Burkholderia territorii,0.055087878,0.304
Burkholderia thailandensis,0.139450528,0.038
Burkholderia ubonensis,0.043249085,0.378
Burkholderia vietnamiensis,0.041110864,0.387
Burkholderiaceae bacterium,0.251732885,0.004
Burkholderiaceae bacterium 16,0.172408739,0.022
Burkholderiaceae bacterium 26,0.005969929,0.899
Burkholderiaceae bacterium PBA,0.071325823,0.213
Burkholderiales bacterium,0.646500771,0.001
Burkholderiales bacterium 12-64-5,0.041245749,0.394
Burkholderiales bacterium 21-58-4,0.239780558,0.001
Burkholderiales bacterium 68-10,0.156874189,0.033
Burkholderiales bacterium 70-64,0.22755173,0.006
Burkholderiales bacterium 8X,0.554061991,0.001
Burkholderiales bacterium GJ-E10,0.04726408,0.381
Burkholderiales bacterium JOSHI_001,0.091822482,0.132
Burkholderiales bacterium PBB4,0.074361485,0.154
Burkholderiales bacterium PBB5,0.135558171,0.044
Burkholderiales bacterium RIFCSPHIGHO2_02_FULL_64_19,0.092469383,0.115
Burkholderiales bacterium RIFCSPLOWO2_02_FULL_57_36,0.22564068,0.006
Burkholderiales bacterium RIFCSPLOWO2_12_67_14,0.250651912,0.004
Burkholderiales bacterium RIFCSPLOWO2_12_FULL_65_40,0.061374,0.249
Burkholderiales bacterium RIFCSPLOWO2_12_FULL_67_210,0.037902287,0.452
Burkholderiales bacterium RIFOXYC12_FULL_60_6,0.017031064,0.758
Burkholderiales bacterium RIFOXYC12_FULL_65_23,0.016471918,0.697
Butyricicoccus sp.,0.007334053,0.852
Butyricicoccus sp. 1XD8-22,0.048936516,0.352
Butyricimonas virosa,0.054108781,0.311
Butyrivibrio hungatei,0.052000279,0.326
Bythopirellula goksoeyrii,0.500916073,0.001
Bythopirellula polymerisocia,0.455373812,0.001
Bythopirellula sp.,0.548753578,0.001
Caballeronia arationis,0.095804594,0.124
Caballeronia arvi,0.231261777,0.007
Caballeronia calidae,0.100295315,0.123
Caballeronia choica,0.0172842,0.671
Caballeronia cordobensis,0.251225334,0.004
Caballeronia glathei,0.080577243,0.152
Caballeronia grimmiae,0,1
Caballeronia humi,0.147713436,0.033
Caballeronia hypogeia,0.154792666,0.029
Caballeronia megalochromosomata,0,1
Caballeronia mineralivorans,0.134707663,0.042
Caballeronia novacaledonica,0.245064638,0.002
Caballeronia peredens,0.153254665,0.03
Caballeronia ptereochthonis,0.045943219,0.363
Caballeronia sordidicola,0.00701449,0.845
Caballeronia sp.,0.182763428,0.01
Caballeronia sp. AZ10_KS36,0.029775903,0.525
Caballeronia sp. CLC5,0.133035197,0.053
Caballeronia sp. dw_19,0.024449922,0.618
Caballeronia sp. GAWG2-1,0.088822108,0.123
Caballeronia sp. INML2,0.068610472,0.197
Caballeronia sp. J97,0.22272764,0.007
Caballeronia sp. Lep1P3,0.077056073,0.169
Caballeronia sp. LZ001,0.006413027,0.894
Caballeronia sp. LZ029,0.058988366,0.252
Caballeronia sp. LZ033,0.027596343,0.569
Caballeronia sp. LZ034LL,0.078719885,0.162
Caballeronia sp. LZ035,0.060416006,0.261
Caballeronia sp. NK8,0.035793118,0.422
Caballeronia temeraria,0.408521611,0.001
Caballeronia terrestris,0.122065171,0.068
Caballeronia zhejiangensis,0.116179147,0.069
Caedimonadaceae bacterium,0.023201471,0.604
Caenibius sp. WL,0.22589783,0.007
Caenibius tardaugens,0.047054662,0.328
Caenimonas aquaedulcis,0.007576523,0.876
Caenimonas koreensis,0.13682073,0.042
Caenimonas sedimenti,0.180720253,0.017
Caenimonas soli,0.14452195,0.036
Caenimonas sp. SL110,0.077567703,0.189
Caenispirillum bisanense,0.099799752,0.107
Caenispirillum salinarum,0.458679476,0.001
Caldalkalibacillus thermarum,0.018460005,0.729
Caldalkalibacillus uzonensis,0.002259449,0.949
Caldanaerobius polysaccharolyticus,0.01719758,0.74
Caldibacillus thermoamylovorans,0.025124959,0.568
Caldicellulosiruptor acetigenus,0.032245553,0.478
Caldicellulosiruptor hydrothermalis,0,1
Caldichromatium japonicum,0.48534555,0.001
Caldilinea sp.,0.131924862,0.033
Caldilinea sp. CFX5,0.125309325,0.049
Caldilineaceae bacterium,0.472122678,0.001
Caldilineaceae bacterium SB0664_bin_27,0.19890722,0.023
Caldilineae bacterium,0.132209745,0.042
Caldilineales bacterium,0.16234024,0.029
Caldimicrobium sp.,0.19890722,0.023
Caldimicrobium thiodismutans,0.003494482,0.961
Caldimonas brevitalea,0.324648409,0.001
Caldimonas caldifontis,0.14194344,0.045
Caldimonas mangrovi,0.075833089,0.187
Caldimonas sp.,0.391785727,0.001
Caldimonas taiwanensis,0.01859838,0.678
Caldimonas tepidiphila,0.363397093,0.001
Caldimonas thermodepolymerans,0.145649778,0.027
Caldinitratiruptor microaerophilus,0.351563067,0.001
Caldisalinibacter kiritimatiensis,0.017342069,0.708
Caldisericales bacterium,0.270325034,0.001
Caldisericia bacterium,0.51148588,0.001
Caldisericota bacterium,0.231358683,0.005
Calditerricola sp.,0.14637758,0.043
Calditerrivibrio nitroreducens,0.299102885,0.002
Caldithrix abyssi,0.234380513,0.007
Caldithrix sp.,0.201392697,0.008
Caldithrix sp. RBG_13_44_9,0.017918398,0.716
Calditrichaceae bacterium,0.085993405,0.152
Calditrichia bacterium,0.568243351,0.001
Calditrichota bacterium,0.494852877,0.001
Caldovatus aquaticus,0.283874952,0.002
Caldovatus sediminis,0.154115368,0.035
Calidifontibacillus oryziterrae,0.068799952,0.21
Calidifontibacter indicus,0.064044734,0.23
Calidifontimicrobium sp. SYSU G02091,0.12896944,0.065
Calidithermus chliarophilus,0.263979925,0.003
Calidithermus roseus,0.16847761,0.026
Calidithermus sp.,0.261592411,0.003
Calidithermus terrae,0.259779572,0.002
Calidithermus timidus,0.045388583,0.378
Calothrix brevissima,0.037380577,0.446
Calothrix elsteri,0.040580256,0.42
Calothrix membranacea,0.060996699,0.248
Calothrix rhizosoleniae,0.026633398,0.573
Calothrix sp. 336/3,0.285870675,0.001
Calothrix sp. C42_A2020_038,0.1418071,0.043
Calothrix sp. FACHB-156,0,1
Calothrix sp. FI2-JRJ7,0.023255161,0.646
Calothrix sp. HK-06,0.391425461,0.001
Calothrix sp. MO_167.B12,0.037875756,0.403
Calothrix sp. MO_167.B42,0.034654513,0.458
Calothrix sp. MO_192.B10,0.208624063,0.01
Calothrix sp. NIES-2098,0.4190483,0.001
Calothrix sp. NIES-2100,0.03358189,0.469
Calothrix sp. NIES-3974,0.228231217,0.005
Calothrix sp. NIES-4071,0.424821041,0.001
Calothrix sp. NIES-4101,0.082706624,0.15
Calothrix sp. PCC 6303,0,1
Calothrix sp. PCC 7507,0.189180186,0.014
Calothrix sp. PCC 7716,0.175275281,0.022
Camelimonas fluminis,0.138794596,0.049
Camelimonas lactis,0.013228419,0.844
Caminicella sporogenes,0,1
Campylobacter blaseri,0.059685991,0.275
Campylobacter coli,0.063195686,0.239
Campylobacter fetus,0.022201504,0.673
Campylobacter jejuni,0.150208509,0.036
Campylobacter lari,0.19890722,0.023
Campylobacter showae,0.189745752,0.01
Campylobacter sp. RM15925,0.026487813,0.569
Campylobacterales bacterium,0.460386789,0.001
Campylobacterota bacterium,0.145838357,0.039
candidate division BRC1 bacterium ADurb.BinA292,0.010472642,0.82
candidate division BRC1 bacterium HGW-BRC1-1,0.078995774,0.156
candidate division BRC1 bacterium SM23_51,0.171257298,0.021
candidate division CPR1 bacterium GW2011_GWC1_49_13,0.102641774,0.094
candidate division CSSED10-310 bacterium,0.017123552,0.673
candidate division FCPU426 bacterium,0.268019079,0.004
candidate division GN15 bacterium,0.039473181,0.412
candidate division KD3-62 bacterium DG_56,0.013451228,0.804
candidate division KSB1 bacterium,0.062135988,0.271
candidate division KSB1 bacterium RBG_16_48_16,0.244669494,0.004
candidate division KSB3 bacterium,0.170786203,0.032
candidate division LCP-89 bacterium B3_LCP,0,1
candidate division NC10 bacterium,0.095958438,0.122
candidate division NC10 bacterium CSP1-5,0.757328249,0.001
candidate division NC10 bacterium RBG_16_65_8,0.115232732,0.079
candidate division NC10 bacterium RIFCSPLOWO2_02_FULL_66_22,0.0275237,0.529
candidate division NC10 bacterium RIFCSPLOWO2_12_FULL_66_18,0.344731443,0.001
candidate division NPL-UPA2 bacterium,0.329569206,0.001
candidate division TA06 bacterium,0.040389896,0.403
candidate division TA06 bacterium SM23_40,0.3403073,0.001
candidate division TM6 bacterium GW2011_GWE2_31_21,0.14526646,0.049
candidate division TM6 bacterium GW2011_GWF2_33_332,0.023614377,0.652
candidate division TM7 genomosp. GTL1,0.168371421,0.021
candidate division WOR_3 bacterium SM23_42,0.060402539,0.228
candidate division WOR-1 bacterium DG_54_3,0.012370502,0.761
candidate division WOR-1 bacterium RIFOXYA12_FULL_43_27,0.085061095,0.14
candidate division WOR-1 bacterium RIFOXYA2_FULL_36_21,0.055500121,0.308
candidate division WOR-3 bacterium,0.515620633,0.001
candidate division WOR-3 bacterium JGI_Cruoil_03_44_89,0.19890722,0.023
candidate division WS2 bacterium ADurb.Bin280,0.022960291,0.612
candidate division Zixibacteria bacterium HGW-Zixibacteria-1,0.098103736,0.104
candidate division Zixibacteria bacterium RBG_16_50_21,0.119736461,0.053
candidate division Zixibacteria bacterium RBG_16_53_22,0.226209526,0.006
candidate division Zixibacteria bacterium RBG-1,0.116951228,0.075
candidate division Zixibacteria bacterium SM23_81,0.292968636,0.001
Candidatus Abyssubacteria bacterium,0.058956939,0.272
Candidatus Abyssubacteria bacterium SURF_17,0.170361888,0.034
Candidatus Accumulibacter aalborgensis,0.048476996,0.315
Candidatus Accumulibacter adjunctus,0.50101499,0.001
Candidatus Accumulibacter affinis,0.145887334,0.03
Candidatus Accumulibacter appositus,0.135058728,0.045
Candidatus Accumulibacter contiguus,0.312094355,0.001
Candidatus Accumulibacter meliphilus,0.057348157,0.282
Candidatus Accumulibacter necessarius,0.171997102,0.023
Candidatus Accumulibacter phosphatis,0.022358761,0.611
Candidatus Accumulibacter propinquus,0.089479174,0.128
Candidatus Accumulibacter proximus,0.119620232,0.07
Candidatus Accumulibacter regalis,0.21168496,0.008
Candidatus Accumulibacter similis,0,1
Candidatus Accumulibacter sp. ACC012,0.044377289,0.377
Candidatus Accumulibacter sp. SK-11,0.193048777,0.014
Candidatus Acetothermia bacterium,0.023746952,0.587
Candidatus Acheromyda pituitae,0.204280003,0.012
Candidatus Acidiferrales bacterium,0.268266186,0.001
Candidatus Acidiferrum panamense,0.072394007,0.205
Candidatus Acidiferrum sp.,0.090937776,0.129
Candidatus Acidiferrum typicum,0.055244633,0.288
Candidatus Adiutrix sp.,0.124473854,0.05
Candidatus Adlerbacteria bacterium,0.080996684,0.163
Candidatus Adlerbacteria bacterium GW2011_GWC1_50_9,0,1
Candidatus Aegiribacteria sp.,0.088880807,0.139
Candidatus Aegiribacteria sp. MLS_C,0.067244759,0.203
Candidatus Aeolococcus gillhamiae,0.21686615,0.011
Candidatus Aerophobetes bacterium,0.067950749,0.203
Candidatus Aerophobetes bacterium Ae_b3b,0.386644638,0.002
Candidatus Aerophobus sp.,0.319360836,0.001
Candidatus Afipia apatlaquensis,0.161305598,0.024
Candidatus Alectryocaccomicrobium excrementavium,0.014858447,0.752
Candidatus Amarobacillus elongatus,0.049844647,0.304
Candidatus Amarobacter glycogenicus,0.232212845,0.009
Candidatus Amarolinea dominans,0.155269897,0.02
Candidatus Amesbacteria bacterium RIFCSPLOWO2_01_FULL_49_25,0.340739572,0.001
Candidatus Aminicenantes bacterium,0.125970974,0.058
Candidatus Aminicenantes bacterium RBG_13_59_9,0.055930893,0.253
Candidatus Aminicenantes bacterium RBG_16_63_16,0.15644438,0.026
Candidatus Aminicenantes bacterium RBG_19FT_COMBO_59_29,0.019054703,0.692
Candidatus Aminicenantes bacterium RBG_19FT_COMBO_65_30,0.112855127,0.089
Candidatus Anaeroferrophillus wilburensis,0.083094827,0.171
Candidatus Anammoximicrobium sp.,0.312310283,0.002
Candidatus Andeanibacterium colombiense,0.080797544,0.169
Candidatus Andersenbacteria bacterium,0.495786988,0.001
Candidatus Andersenbacteria bacterium CG10_big_fil_rev_8_21_14_0_10_54_11,0,1
Candidatus Angelobacter sp.,0.368832979,0.001
Candidatus Angelobacter sp. Gp1-AA117,0.338455042,0.001
Candidatus Aquicultor secundus,0.101440436,0.105
Candidatus Aquicultor sp.,0.034609283,0.48
Candidatus Aquidulcis sp.,0.030738143,0.521
Candidatus Aquilonibacter sp.,0.494824519,0.001
Candidatus Aquiluna sp. XM-24bin5,0.12061871,0.069
Candidatus Atribacteria bacterium,0.039534291,0.428
Candidatus Atribacteria bacterium 1244-E10-H5-B2,0.113694292,0.085
Candidatus Atribacteria bacterium HGW-Atribacteria-1,0,1
Candidatus Atribacteria bacterium RBG_16_35_8,0.057788933,0.277
Candidatus Auribacterota bacterium,0.067661862,0.222
Candidatus Avamphibacillus sp.,0.194690572,0.012
Candidatus Avedoeria danica,0.24724673,0.003
Candidatus Avipropionibacterium avicola,0.074197089,0.172
Candidatus Avitreponema avistercoris,0.028922415,0.546
Candidatus Azambacteria bacterium,0.246966579,0.002
Candidatus Azambacteria bacterium RIFCSPHIGHO2_02_FULL_45_18,0,1
